Image-name-unique,ventricles,amygdala,hippocampus,ventral dc,anterior cingulate,anterior insula,anterior orbital,angular,calcarine,central operculum,cuneus,entorhinal,frontal operculum,frontal pole,fusiform,gyrus rectus,inferior occipital,inferior temporal,lingual,lateral orbital,middle cingulate,medial frontal,middle frontal,middle occipital,medial orbital,postcentral,precentral,superior frontal,middle temporal,occipital pole,occipital fusiform,inferior frontal,posterior cingulate,precuneus,parahippocampal,posterior insula,parietal operculum,posterior orbital,planum polare,planum temporale,supplem. motor,supramarginal,superior occipital,superior parietal,superior temporal,temporal pole,accumbens,caudate,pallidum,thalamus,amygdala,putamen
Image_1,2.86666666666667,2.73333333333333,0.133333333333333,0.2,0.866666666666667,1.66666666666667,0.733333333333333,2.33333333333333,0.333333333333333,1.46666666666667,2,1.33333333333333,1.13333333333333,1.4,2.46666666666667,0.8,3,2.66666666666667,2.06666666666667,1,0.466666666666667,0.933333333333333,1.6,2.4,0.666666666666667,1.73333333333333,0.066666666666667,1.26666666666667,2.53333333333333,0,2.93333333333333,1.06666666666667,0.533333333333333,2.26666666666667,0.4,2.13333333333333,1.86666666666667,0.6,1.53333333333333,1.8,0.266666666666667,2.6,1.93333333333333,2.8,2.2,1.2,0.4,2.1,1.2,1.6,2.4,2.8
Image_2,2.86666666666667,2.73333333333333,0,0,0,0,0,2.33333333333333,0,0,0,0,0,0,2.46666666666667,0,3,2.66666666666667,0,0,0,0,0,2.4,0,0,0,0,2.53333333333333,0,2.93333333333333,0,0,2.26666666666667,0,2.13333333333333,0,0,0,0,0,2.6,0,2.8,2.2,0,0,2.1,0,0,2.4,2.8
